System Time, Nox
2018-03-12 18:20:13.792327,102
2018-03-13 18:34:20.485132,64
2018-03-13 18:49:20.358299,76
2018-03-13 18:50:23.397700,51
2018-03-14 10:59:22.248577,87
2018-03-14 11:02:37.456337,68
2018-03-14 13:45:37.560781,117
2018-03-14 15:43:10.675955,119
2018-03-14 16:20:30.429457,80
2018-03-14 16:09:47.698007,75
2018-03-15 07:55:50.764358,59
2018-03-15 08:01:13.044061,66
2018-03-15 08:08:39.304938,51
2018-03-15 11:44:59.684214,89
2018-03-15 12:01:47.750468,57
2018-03-15 12:11:33.258468,61
2018-03-15 12:27:37.020302,62
2018-03-15 12:28:42.201019,53
2018-03-15 12:27:15.789628,111
2018-03-15 12:42:37.083360,65
2018-03-15 12:50:06.614767,109
2018-03-15 12:59:46.834426,87
2018-03-15 12:51:07.634105,56
2018-03-15 13:04:04.135494,62
2018-03-15 13:09:37.651478,93
2018-03-15 13:18:00.196073,92
2018-03-15 13:15:19.771448,118
2018-03-15 13:15:54.066275,83
2018-03-07 10:47:39.205244,125
2018-03-07 10:48:43.225262,117
2018-03-07 10:50:52.190993,99
2018-03-07 10:46:33.547712,142
2018-03-07 10:45:30.679793,166
2018-03-07 10:52:57.259837,86
2018-03-07 10:54:05.026841,83
2018-03-07 10:55:09.513588,79
2018-03-07 10:58:18.168155,74
2018-03-07 11:04:46.354956,62
2018-03-07 11:01:33.737607,66
2018-03-07 11:55:54.184540,60
2018-03-07 16:14:14.101620,90
2018-03-08 09:38:39.218536,55
2018-03-08 09:45:01.148825,86
2018-03-08 10:39:32.794556,240
2018-03-08 10:51:19.085036,58
2018-03-09 12:30:01.281491,61
2018-03-09 12:34:07.592020,100
2018-03-09 12:47:58.894985,50
2018-03-09 12:51:12.946867,68
2018-03-09 16:14:02.387265,57
2018-03-09 16:11:52.154555,61
2018-03-09 16:22:34.364271,101
2018-03-09 16:19:21.582427,87
2018-03-09 14:06:36.943999,72
2018-03-09 16:32:11.420854,50
2018-03-09 22:12:00.607442,81
2018-03-09 22:12:13.005097,74
2018-03-09 22:18:39.222324,64
2018-03-09 22:22:55.945802,62
2018-03-09 22:23:59.111706,57
2018-03-09 22:25:02.620061,51
2018-03-09 22:31:29.256387,58
2018-03-09 22:33:39.062595,54
2018-03-09 22:34:40.863352,52
2018-03-09 22:36:53.402327,52
2018-03-09 23:11:10.673708,50
2018-03-09 23:12:16.043467,211
2018-03-10 11:12:31.793496,67
2018-03-10 12:38:53.899967,109
2018-03-10 13:41:55.228786,66
2018-03-10 13:42:59.036522,104
2018-03-10 13:51:30.340224,73
2018-03-10 14:33:07.236175,101
2018-03-10 14:34:11.545659,91
2018-03-10 14:44:54.930301,61
2018-03-10 15:04:04.670651,140
2018-03-10 14:58:47.738694,255
2018-03-10 15:12:42.228514,55
2018-03-10 15:19:07.999725,65
2018-03-10 16:23:07.557740,57
2018-03-10 17:14:41.666297,73
2018-03-10 17:56:16.906141,52
2018-03-10 18:02:39.709306,60
2018-03-10 18:07:55.328959,64
2018-03-10 18:29:18.486737,59
2018-03-10 18:32:30.733660,89
2018-03-11 10:38:35.472932,118
2018-03-11 13:10:16.646544,57
2018-03-11 13:42:16.055965,110
2018-03-11 14:14:25.703942,69
2018-03-11 14:53:10.431326,78
2018-03-11 17:19:08.002491,52
2018-03-11 17:25:31.667915,88
2018-03-11 17:21:16.050698,80
2018-03-11 17:59:39.700821,51
2018-03-11 18:00:43.943437,59
2018-03-11 18:06:02.215861,127
2018-03-11 18:07:07.657672,50
2018-03-12 07:49:22.405391,108
2018-03-12 15:36:45.369826,62
2018-03-12 15:41:00.256989,56
2018-03-12 15:43:11.258675,52
2018-03-12 15:48:27.877731,63
2018-03-12 15:51:43.361946,68
2018-03-12 15:57:04.452876,53
2018-03-12 16:05:38.653895,255
2018-03-12 16:16:20.255477,62
2018-03-12 17:41:38.566623,53
2018-03-12 17:49:04.339710,82
2018-03-12 17:51:13.610766,67
2018-03-12 17:57:36.888971,255
2018-03-12 18:00:47.626708,117
2018-03-13 05:31:38.512789,52
2018-03-13 05:32:42.740844,121
2018-03-13 05:33:45.374077,57
2018-03-13 05:40:14.736574,79
2018-03-13 05:38:06.122016,59
2018-03-13 05:48:49.145926,58
2018-03-13 05:49:52.215821,52
2018-03-13 05:44:30.437542,71
2018-03-13 15:19:32.026062,97
2018-03-13 15:23:22.537905,54
2018-03-13 15:26:30.420185,52
2018-03-13 15:27:35.218060,72
2018-03-13 15:31:52.843323,60
2018-03-13 15:32:54.910356,51
2018-03-13 15:52:04.129612,83
2018-03-13 15:59:37.367345,66
2018-03-13 16:00:39.431739,78
2018-03-13 16:04:56.353170,111
2018-03-13 16:03:54.468016,95
2018-03-13 21:07:15.875537,61
2018-03-14 10:40:08.072836,72
2018-03-14 10:39:01.894705,61
2018-03-14 10:42:14.361928,63
2018-03-14 10:43:16.654735,196
2018-03-14 10:36:53.908302,56
2018-03-14 12:51:55.597707,59
2018-03-14 12:59:24.423770,54
2018-03-14 13:00:28.275632,74
2018-03-14 15:11:46.726526,51
2018-03-14 15:12:52.898888,199
2018-03-14 15:13:56.025537,199
2018-03-14 15:17:05.961857,52
2018-03-14 15:33:02.542640,76
2018-03-14 15:34:08.993050,140
2018-03-14 15:35:13.304513,58
2018-03-14 15:18:10.895091,171
2018-03-14 15:50:08.933530,137
2018-03-14 16:23:13.202538,58
2018-03-14 16:24:16.513639,64
2018-03-14 16:35:00.699092,93
2018-03-14 18:52:54.289916,74
2018-03-14 19:26:56.652582,71
2018-03-14 20:09:34.382963,74
2018-03-14 20:10:38.214017,50
2018-03-15 07:08:08.356982,58
2018-03-15 07:20:04.143398,93
2018-03-15 08:24:48.054797,60
2018-03-15 09:36:47.157480,52
2018-03-15 09:59:18.115406,88
2018-03-15 14:49:15.577942,57
